Kontiopuiston lentopallokenttä|60.361504,25.09246
Puisto, lähivirkistysalue tai vastaava|60.257023,24.830402
Leikkipuisto Savela|60.238274,24.99016
Big Andy -toteemi|60.205776,25.080767
Laajakorven pallokenttä|60.282436,24.839996
Kallioaurinko|60.219822,24.956266
Tähkäpään ryhmäperhepäiväkoti, kirjastoautopysäkki|60.25307,24.726023
Yläjuoksun pieni kenttä|60.29019,24.752905
Helsingin tietokone- ja pelikonsolimuseo|60.156227,24.921259
Helsingin Rudolf Steiner-koulu, Par, kouluterveydenhuolto|60.20033,24.903807
Alueellinen keräyspiste, Puistolan raitti 11|60.271446,25.051476
Ravintola Pihlajasaari|60.13919,24.917124
Kahluuallas, Leikkipuisto Mustakivi|60.2044,25.14126
Puistolan liikuntapuisto|60.26752,25.054306
Metropolia Helsingin ammattikorkeakoulu tuotantotalous, opiskeluterveydenhuolto|60.163097,24.931507
Hakunilan urheilukenttä|60.278046,25.12354
Hakunilanrinteen päiväkoti|60.273365,25.099327
Kilon terveysasema|60.21798,24.785975
Nandelstadhin venesatama|60.18249,25.014973
As Oy Kiltaveljenpolku 3|60.200634,24.65863
Kasavuoren koulu|60.215397,24.703032
Vartiokylän yläasteen koulu|60.213825,25.098732
Alueelinen keräyspiste, Kruununrinne|60.19811,24.76382
Puisto, lähivirkistysalue tai vastaava|60.25773,24.802422
Daghemmet Sockenstugans förskola|60.229046,24.849874
Töölö 3 lähipalvelualue|60.180756,24.918407
Espoonlahden uimahalli, työväenopiston opetuspaikka|60.146473,24.65813
Lansankallion päiväkoti|60.212006,24.771908
Puisto, lähivirkistysalue tai vastaava|60.257153,24.778025
Alueellinen keräyspiste, Porvoonkatu / Viipurinkatu|60.190765,24.94549
Vuosaaren lähiöasema|60.22139,25.138824
Alueellinen keräyspiste, Buusintie 1|60.296246,24.698881
Galleria Sculptor|60.165924,24.951763
Circus Helsinki|60.192894,24.943954
As Oy Ratamotie 1|60.231373,24.77708
Leppäkorven koulun pallokenttä|60.35688,25.082193
Kivifiguurit|60.192146,24.925192
Iivisniemi, kirjastoautopysäkki|60.149014,24.691282
Leikkipaikka Kirsikkapuro|60.232677,24.922518
Eftermiddagsverksamhet / Zaches eftis, Utbildningsverket|60.187607,24.912785
Puisto, lähivirkistysalue tai vastaava|60.247833,25.116728
Kaivokselan lentopallokenttä|60.270332,24.867502
Kela, Helsinki / Malmi|60.25226,25.01625
Kouluravintola, Pihlajamäen aa|undefined,undefined
Kahluuallas, Leikkipuisto Viikkari|60.229805,25.033058
Kierrätyspiste, Niinikuja 2|60.322914,25.055086
Viertola, verkko, HSY Vesihuolto|60.28962,25.020626
Päiväkoti Vanhainen|60.242886,24.876837
Päiväkoti Vuorilinna|60.245533,24.899576
Päiväkoti Kaunokki|60.25182,24.8536
Päiväkoti Hakuninmaa|60.25307,24.897766
Päiväkoti Apila|60.2444,24.855799
Päiväkoti Kannelmäki|60.24158,24.882078
Päiväkoti Kannel|60.239784,24.880081
Päiväkoti Tonttula|60.217228,24.904282
Päiväkoti Kanerva|60.22565,24.897598
Päiväkoti Ella|60.231678,24.889477
Päiväkoti Lassi|60.229465,24.87595
Päiväkoti Niitty|60.233555,24.880356
Päiväkoti Metsätähti|60.25063,24.85736
Leikkipuisto Trumpetti|60.237484,24.867905
Päiväkoti Lapinmäki|60.209225,24.882915
Päiväkoti Oulunkylä|60.230476,24.956072
Päiväkoti Kotitorppa|60.262688,24.949562
Päiväkoti Alppimaja|60.18576,24.950527
Päiväkoti Pajamäki|60.21859,24.85252
Päiväkoti Veräjämäki|60.224243,24.9736
Päiväkoti Kytöniitty|60.248528,24.93781
Leikkipuisto Lahnalahti|60.15959,24.87571
Daghemmet Barnabo|60.222958,25.063234
Leikkipuisto Piika|60.244473,24.857874
Daghemmet Bertha-Maria Hemmet|60.183277,24.921429
Päiväkoti Miilu|60.249474,24.943913
Ryhmäperhepäiväkoti Osteri|60.160275,24.884207
Leikkipuisto Kaunokki|60.252544,24.853199
Daghemmet Killingen|60.19222,25.033794
Daghemmet Kvarnberget|60.15763,24.869883
Päiväkoti Torpparinmäki|60.25872,24.950687
Päiväkoti Maunula|60.22857,24.92287
Daghemmet Rastis|60.208645,25.139114
Päiväkoti Valkea|60.253162,24.929947
Päiväkoti Isoniitty|60.20549,24.954771
Leikkipuisto Ruoholahti|60.161217,24.91824
Päiväkoti Suursuo|60.233826,24.933615
Daghemmet Sockenstugan|60.229046,24.849874
Päiväkoti Haltia|60.249657,24.95872
Päiväkoti Herttua|60.220535,24.96875
Daghemmet Solhälla|60.201015,24.942245
Ryhmäperhepäiväkoti Reimari|60.15915,24.913057
Päiväkoti Majava|60.2315,24.950026
Päiväkoti Pikku-Veräjä|60.232647,24.980127
Ryhmäperhepäiväkoti Alli|60.16173,24.889063
Daghemmet Staffan|60.26014,25.001045
Päiväkoti Norppa|60.230072,24.958996
Daghemmet Viktoria|60.163452,24.924088
Päiväkoti Tammi|60.242435,24.962627
Päiväkoti Karhi|60.233395,24.84103
Päiväkoti Niittyvilla|60.201817,24.949709
Leikkipuisto Lehdokki|60.198143,24.946218
Leikkipuisto Linja|60.18257,24.944262
Päiväkoti Kivikko|60.230564,25.014452
Päiväkoti Kaivopuisto|60.156475,24.952463
Päiväkoti Sörkka|60.180862,24.955057
Päiväkoti Masto|60.165787,24.968605
Päiväkoti Onnela|60.158375,24.941908
Päiväkoti Aleksi|60.16949,24.95763
Päiväkoti Nurmikko|60.20814,24.965082
Päiväkoti Lappi|60.16692,24.926619
Leikkipuisto Intia|60.211594,24.959848
Päiväkoti Kotikallio|60.19638,24.963833
Päiväkoti Pasila|60.195255,24.92852
Päiväkoti Tapio|60.18743,24.951967
Päiväkoti Melkko|60.152267,24.883587
Päiväkoti Elias|60.165344,24.936907
Päiväkoti Pikku-Duunari|60.189915,24.946573
Päiväkoti Leppäsuo|60.170364,24.922108
Päiväkoti Kumpula|60.2142,24.96495
Päiväkoti Meripirtti|60.15969,24.934397
Päiväkoti Pääskylä|60.189896,24.965355
Päiväkoti Terhi|60.18237,24.953884
Päiväkoti Fregatti|60.15915,24.913057
Leikkipuisto Vallila|60.19805,24.960335
Päiväkoti Katajanokka|60.16682,24.96718
Päiväkoti Lokki|60.160477,24.86229
Päiväkoti Lehdokki|60.198128,24.94492
Päiväkoti Ratamo|60.2021,24.939539
Päiväkoti Viola|60.197952,24.966753
Päiväkoti Kallio|60.18116,24.95648
Ryhmäperhepäiväkoti Venho, varakoti |60.162838,24.913282
Päiväkoti Itämeri|60.162327,24.916454
Päiväkoti Runo|60.192326,24.962576
Päiväkoti Maria|60.161526,24.925802
Päiväkoti Kesäheinä|60.20277,24.95126
Päiväkoti Marjala|60.209682,24.96465
Päiväkoti Tammisalo|60.1921,25.065628
Päiväkoti Virkkula|60.174877,24.955643
Päiväkoti Porolahti|60.197227,25.05547
Päiväkoti Pajalahti|60.15882,24.884985
Päiväkoti Puuskakulma|60.164745,25.074867
Leikkipuisto Tuorinniemi|60.186672,25.03862
Päiväkoti Vironniemi|60.171825,24.954998
Leikkipuisto Roihuvuori|60.202915,25.06179
Päiväkoti Päiväpirtti|60.182724,24.912022
Päiväkoti Roihuvuori|60.201393,25.058722
Päiväkoti Yliskylä|60.176903,25.043095
Päiväkoti Ruoholahden lastentalo|60.16086,24.918835
Päiväkoti Ratikka|60.184536,24.920813
Ryhmäperhepäiväkoti Väiski|60.168705,24.925516
Leikkipuisto Santahamina|60.15239,25.049166
Päiväkoti Riikka|60.180653,24.925686
Päiväkoti Kulosaari|60.186954,25.013857
Päiväkoti Santahamina|60.15231,25.048607
Leikkipuisto Herttoniemi|60.197857,25.033728
Päiväkoti Tuorinniemi|60.187084,25.037989
Päiväkoti Suomenlinna|60.146976,24.987812
Leikkipuisto Taivallahti|60.176556,24.91984
Päiväkoti Satama|60.191635,25.036427
Leikkipuisto Hilleri|60.210014,25.043625
Päiväkoti Särki|60.15288,24.876598
Päiväkoti Merituuli|60.189426,25.03044
Päiväkoti Siilitie|60.20786,25.043783
Päiväkoti Troolari|60.162838,24.913282
Leikkipuisto Seppä|60.158676,24.939638
Päiväkoti Tahvonlahti|60.167526,25.03721
Leikkipuisto Sanna|60.198483,24.921968
Päiväkoti Veijari|60.153126,24.888048
Päiväkoti Nalle|60.172653,25.038242
Päiväkoti Puotila|60.212997,25.09121
Päiväkoti Viikinki|60.216473,25.111313
Leikkipuisto Rudolf|60.171413,25.039845
Leikkipuisto Mellunmäki|60.235363,25.122532
Päiväkoti Puotinharju|60.211857,25.078707
Päiväkoti Vikla|60.22957,25.071568
Päiväkoti Hanna, ryhmä Viikuna|60.20889,25.136698
